textbox3,textbox16,textbox105,textbox18,textbox103,textbox9,textbox101,textbox11,textbox99,textbox14,textbox15,textbox55,textbox22,textbox156
"Monday, August 4, 2025",8/1/2025 12:00 AM,All,8/2/2025 11:59 PM,All,All,All,All,All,All,All,All,All,Completed

OperationType_1,textbox4,textbox72,AnimalNumber,AnimalName,Species,textbox30,textbox36,Gender,textbox46,textbox41,textbox44,OperationType,PetID,ARN,textbox50,textbox51,textbox52,textbox53,Altered,Size,SpayedNeutered,By,OperationSubType,DOA,ScheduleStatus,Textbox24,Textbox49,Assigned_To,Textbox61,textbox542
Clinic,Total Intakes: 4,Total Unique Animals: 4,A0058799537,Barbeque,Cat,Domestic Shorthair/Mix,10m 21d,M,Black,N,8/1/2025 8:03 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Stray,False,Completed,8/1/2025 7:03 AM,8/1/2025 8:03 AM,TAMMI COGSWELL,1 hour ,34
Clinic,Total Intakes: 4,Total Unique Animals: 4,A0058799543,Hot Dog,Cat,Domestic Longhair/Mix,10m 21d,M,Black,N,8/1/2025 8:03 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Stray,False,Completed,8/1/2025 7:03 AM,8/1/2025 8:03 AM,TAMMI COGSWELL,1 hour ,34
Clinic,Total Intakes: 4,Total Unique Animals: 4,A0058896954,Knucklehead,Cat,Domestic Shorthair/Mix,2y 14d,M,Orange,Y,8/1/2025 8:54 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Stray,False,Completed,8/1/2025 7:54 AM,8/1/2025 8:54 AM,AMBER BUCHHOLZ,1 hour ,34
Clinic,Total Intakes: 4,Total Unique Animals: 4,A0059027461,,Cat,Domestic Shorthair/Mix,6m 0d,F,"White/Black/
Orange",N,8/1/2025 1:58 PM,Clinic,,,,Small,Receiving/Receiving,No,No,,N,TAMMIC,Stray,False,,,,,,34
Owner/Guardian Surrender,Total Intakes: 7,Total Unique Animals: 7,A0059024830,Austin,Cat,Domestic Longhair/Mix,19y 0d,M,White,Y,8/1/2025 10:09 AM,Owner/Guardian Surrender,,,,Small,Cooler/Cooler,Yes,No,,Y,KEARAC,DOA,True,,,,,,34
Owner/Guardian Surrender,Total Intakes: 7,Total Unique Animals: 7,A0059025580,Milky Way,Dog,"Dachshund, Miniature Smooth Haired/Mix",12y 0d,F,Tan,Y,8/1/2025 11:43 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,Yes,No,,Y,SHANNONV,Euthanasia Request - FIELD!,False,Completed,8/1/2025 10:43 AM,8/1/2025 11:43 AM,SHANNON VOGT,1 hour ,34
Owner/Guardian Surrender,Total Intakes: 7,Total Unique Animals: 7,A0059031589,SEAHORSE,Cat,Domestic Shorthair/Mix,3m 0d,F,Grey/White,N,8/2/2025 10:16 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,No,No,,N,NICKD,Guardian Surrender - FIELD!,False,,,,,,34
Owner/Guardian Surrender,Total Intakes: 7,Total Unique Animals: 7,A0059032130,,Cat,Domestic Shorthair/Mix,28d,M,Blue,N,8/2/2025 11:51 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,Evaluation/Poss Adopt - OTC!,False,,,,,,34
Owner/Guardian Surrender,Total Intakes: 7,Total Unique Animals: 7,A0059032137,,Cat,Domestic Shorthair/Mix,28d,M,Grey,N,8/2/2025 11:51 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,Evaluation/Poss Adopt - OTC!,False,,,,,,34
Owner/Guardian Surrender,Total Intakes: 7,Total Unique Animals: 7,A0059032143,,Cat,Domestic Shorthair/Mix,28d,F,Black,N,8/2/2025 11:51 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,Evaluation/Poss Adopt - OTC!,False,,,,,,34
Owner/Guardian Surrender,Total Intakes: 7,Total Unique Animals: 7,A0059032150,,Cat,Domestic Shorthair/Mix,1y 6m 0d,F,Black,N,8/2/2025 11:51 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,No,No,,N,KEARAC,Evaluation/Poss Adopt - OTC!,False,,,,,,34
Return,Total Intakes: 1,Total Unique Animals: 1,A0058716736,PIPER,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",4y 1m 15d,F,Brown/White,Y,8/1/2025 10:44 AM,Return,,,,Medium,Receiving/Receiving,Yes,No,,Y,TAMMIC,Owned 30 Days or Less - OTC!,False,Completed,8/1/2025 9:44 AM,8/1/2025 10:44 AM,Ashley Dittrich,1 hour ,34
