textbox3,textbox16,textbox105,textbox18,textbox103,textbox9,textbox101,textbox11,textbox99,textbox14,textbox15,textbox55,textbox22,textbox156
"Tuesday, September 2, 2025",8/1/2025 12:00 AM,All,8/31/2025 11:59 PM,All,All,All,All,All,All,All,All,All,Completed

OperationType_1,textbox4,textbox72,AnimalNumber,AnimalName,Species,textbox30,textbox36,Gender,textbox46,textbox41,textbox44,OperationType,PetID,ARN,textbox50,textbox51,textbox52,textbox53,Altered,Size,SpayedNeutered,By,OperationSubType,DOA,ScheduleStatus,Textbox24,Textbox49,Assigned_To,Textbox61,textbox542
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0057168663,FIONA,Cat,Domestic Shorthair/,1y 5m 15d,F,Orange,Y,8/12/2025 4:00 PM,Clinic,,FIONA,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Medical Treatment,False,,,,,,580
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0058067302,LUNA,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",10y 4m 29d,F,White/Brown,Y,8/25/2025 3:27 PM,Clinic,,,,Large,Receiving/Receiving,Yes,No,,Y,SHANNONV,Medical Treatment,False,Completed,8/25/2025 2:57 PM,8/25/2025 3:27 PM,SHANNON VOGT,30 minutes,580
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0058458876,Asher,Rabbit,Rex/Mix,6m 13d,M,Grey,N,8/21/2025 8:12 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,SHANNONV,Retention,False,Completed,8/21/2025 7:12 AM,8/21/2025 8:12 AM,AMBER BUCHHOLZ,1 hour ,580
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0058458881,Pumpkin,Rabbit,Rex/Mix,6m 13d,M,Orange,N,8/21/2025 8:12 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,SHANNONV,Retention,False,Completed,8/21/2025 7:12 AM,8/21/2025 8:12 AM,AMBER BUCHHOLZ,1 hour ,580
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0058577580,Flapjack,Cat,Domestic Shorthair/,1y 2m 25d,M,Orange/White,Y,8/21/2025 2:33 PM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Medical Treatment,False,,,,,,580
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0058680493,CHARLIE,Cat,Domestic Longhair/Mix,1y 5m 1d,F,Orange/White,N,8/14/2025 8:09 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,ASHLEYD,Stray,False,Completed,8/14/2025 7:09 AM,8/14/2025 8:09 AM,KRYSTAN POMEROY,1 hour ,580
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0058694280,NEWT,Cat,Domestic Shorthair/Mix,3m 11d,F,White/Orange,Y,8/19/2025 11:52 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Medical Treatment,False,Completed,8/19/2025 10:52 AM,8/19/2025 11:52 AM,TAMMI COGSWELL,1 hour ,580
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0058788854,Sprinkles,Rabbit,Rex/Californian,10m 12d,F,White/Black,N,8/7/2025 8:08 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Retention,False,Completed,8/7/2025 7:08 AM,8/7/2025 8:08 AM,AMBER BUCHHOLZ,1 hour ,580
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0058788856,Ken,Rabbit,Rex/Californian,10m 12d,M,White/Black,N,8/7/2025 8:08 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Retention,False,Completed,8/7/2025 7:08 AM,8/7/2025 8:08 AM,AMBER BUCHHOLZ,1 hour ,580
Clinic,Total Intakes: 65,Total Unique Animals: 62,A0058788884,Churro,Rabbit,Californian/Rex,10m 16d,M,White/Black,N,8/11/2025 8:07 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,TAMMIC,Retention,False,Completed,8/11/2025 7:07 AM,8/11/2025 8:07 AM,AMBER BUCHHOLZ,1 hour ,580
