textbox22,textbox8,textbox17,textbox12,textbox13,textbox11,textbox14,textbox10,textbox15,textbox9,textbox16,textbox73,Textbox76
"Tuesday, September 2, 2025",8/1/2025 12:00 AM,All,8/31/2025 11:59 PM,All,All,All,No,All,All,All,All,All

textbox28,textbox40,textbox52,textbox71,textbox27,Symptom_DignosisFlag,ExamID,Name,PrimaryBreed,textbox37,Location,ARN,Condition,textbox54,Species,textbox57,Sex,SubLocation,textbox70,textbox72
Abscess,Condition Total: 1,Unique Animals: 1,,A0059188017,S,83598293,SPIRAL,Domestic Shorthair,1mos,Cat Treatment,,Abscess,8/18/2025 2:25 PM,Cat,Kitten,F,E,Condition Total: 528,Unique Animals: 277
Agonal,Condition Total: 1,Unique Animals: 1,,A0058924959,S,83809316,,Domestic Shorthair,1mos,Foster Home,,Agonal,8/31/2025 10:37 AM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
Allergies,Condition Total: 1,Unique Animals: 1,,A0058834525,D,83678432,Remy,"Bulldog, French",1yrs,Dog Holding E,,Allergies,8/24/2025 1:03 PM,Dog,Dog,F,01,Condition Total: 528,Unique Animals: 277
Anemic,Condition Total: 2,Unique Animals: 2,,A0059024937,S,83354403,,Domestic Longhair,1mos,Cat Treatment,,Anemic,8/3/2025 3:04 PM,Cat,Kitten,F,E,Condition Total: 528,Unique Animals: 277
Anemic,Condition Total: 2,Unique Animals: 2,,A0059031437,S,83341386,WEDNESDAY,Domestic Shorthair,10yrs,Receiving,WEDNESDAY,Anemic,8/2/2025 9:42 AM,Cat,Cat,F,Receiving,Condition Total: 528,Unique Animals: 277
Bloody stool,Condition Total: 2,Unique Animals: 2,,A0059070428,S,83669064,KARA,"Mixed Breed, Large (over 44 lbs fully grown)",2yrs,Dog Adoptions B,KARMA,Bloody stool,8/22/2025 9:21 AM,Dog,Dog,F,06,Condition Total: 528,Unique Animals: 277
Bloody stool,Condition Total: 2,Unique Animals: 2,,A0059077128,S,83555116,Bruce,German Shepherd,4yrs,Dog Holding F,,Bloody stool,8/15/2025 9:47 AM,Dog,Dog,M,11,Condition Total: 528,Unique Animals: 277
Broken Tooth/Teeth,Condition Total: 1,Unique Animals: 1,,A0058788884,S,83479442,Churro,Californian,11mos,Receiving,,Broken Tooth/Teeth,8/11/2025 1:12 PM,Rabbit,Other,M,Receiving,Condition Total: 528,Unique Animals: 277
Chemosis,Condition Total: 1,Unique Animals: 1,,A0059211090,D,83670615,GERALD,Domestic Shorthair,3yrs,Cat Isolation 231,,Chemosis,8/22/2025 10:41 AM,Cat,Cat,M,Cage 5,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0058959620,D,83476599,JESSE,Domestic Shorthair,2mos,Foster Home,,Coccidia,8/11/2025 11:39 AM,Cat,Kitten,M,Foster Home,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0058959628,D,83476553,BADGER,Domestic Shorthair,2mos,Foster Home,,Coccidia,8/11/2025 11:39 AM,Cat,Kitten,M,Foster Home,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0058965103,D,83323368,TINK,Domestic Longhair,4mos,Cat Adoption Room H,,Coccidia,8/1/2025 10:08 AM,Cat,Kitten,M,01,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0058965108,D,83324499,Corni Chon,Domestic Longhair,4mos,Cat Adoption Room H,aka Fawn,Coccidia,8/1/2025 10:08 AM,Cat,Kitten,M,01,Condition Total: 528,Unique Animals: 277
Coccidia,Condition Total: 26,Unique Animals: 26,,A0058996530,D,83486693,,Domestic Shorthair,3mos,Foster Home,,Coccidia,8/11/2025 4:44 PM,Cat,Kitten,F,Foster Home,Condition Total: 528,Unique Animals: 277
