AnimalNumber,AnimalName,Species,Gender,Color
A0058952074,Guinea Pig 1,GUINEA PIG/GUINEA PIG,M,Tan/Brown
A0058955493,Guinea Pig 2,GUINEA PIG/GUINEA PIG,M,White/Brown
A0058955497,Guinea Pig 3,GUINEA PIG/GUINEA PIG,F,White/Black
A0058955507,G Pig 5,GUINEA PIG/GUINEA PIG,F,Black/White
A0058955553,G Pig 4,GUINEA PIG/GUINEA PIG,M,Black
A0058955559,G Pig 6,GUINEA PIG/GUINEA PIG,F,White/Black
A0058955564,G Pig 7,GUINEA PIG/GUINEA PIG,M,Black/Orange
A0058955569,G Pig 8,GUINEA PIG/GUINEA PIG,F,White/Grey
A0058955571,G Pig 9,GUINEA PIG/GUINEA PIG,F,Black/Tan
A0058955573,G Pig 10,GUINEA PIG/GUINEA PIG,F,White/Brown
A0058955576,G Pig 11,GUINEA PIG/GUINEA PIG,F,Black
A0058955577,G Pig 12,GUINEA PIG/GUINEA PIG,F,White
A0058955603,G Pig 13,GUINEA PIG/GUINEA PIG,M,"Brown/Tan/
White"
A0058955608,G Pig 14,GUINEA PIG/GUINEA PIG,M,Black/Tan
A0058955613,G Pig 15,GUINEA PIG/GUINEA PIG,M,White/Brown
A0058955616,G Pig 16,GUINEA PIG/GUINEA PIG,F,Brown/Red
A0058955620,G Pig 17,GUINEA PIG/GUINEA PIG,M,Brown/Tan
A0058955624,G Pig 18,GUINEA PIG/GUINEA PIG,F,"Brown/White/
Tan"
A0058955631,G Pig 19,GUINEA PIG/GUINEA PIG,F,"Red/Brown/
White"
A0058955639,G Pig 20,GUINEA PIG/GUINEA PIG,M,Brown/White
A0058955646,G Pig 21,GUINEA PIG/GUINEA PIG,F,"Tan/Brown/
White"
A0058955651,G Pig 22,GUINEA PIG/GUINEA PIG,M,Brown/Tan
A0058955657,G Pig 23,GUINEA PIG/GUINEA PIG,F,Red/Black
A0058955662,G Pig 24,GUINEA PIG/GUINEA PIG,F,Brown/Tan
A0058955669,G Pig 25,GUINEA PIG/GUINEA PIG,F,Brown/White
A0058955673,G Pig 26,GUINEA PIG/GUINEA PIG,F,Brown/Tan
A0058955676,G Pig 27,GUINEA PIG/GUINEA PIG,F,Red/White
A0058955683,G Pig 28,GUINEA PIG/GUINEA PIG,F,Black/Tan
A0058955689,G Pig 29,GUINEA PIG/GUINEA PIG,F,White/Brown
A0058955696,G Pig 30,GUINEA PIG/GUINEA PIG,F,Red/White
A0058955700,G Pig 31,GUINEA PIG/GUINEA PIG,F,Brown/Tan
A0058955704,G Pig 32,GUINEA PIG/GUINEA PIG,F,White/Black
A0058955706,G Pig 33,GUINEA PIG/GUINEA PIG,F,White/Black
A0058955712,G Pig 34,GUINEA PIG/GUINEA PIG,F,White/Black
A0058955716,G Pig 35,GUINEA PIG/GUINEA PIG,M,White/Red
A0058955721,G Pig 36,GUINEA PIG/GUINEA PIG,F,Tan/White
A0058955724,G Pig 37,GUINEA PIG/GUINEA PIG,F,"Brown/Tan/
White"
A0058955726,G Pig 38,GUINEA PIG/GUINEA PIG,F,"Brown/Tan/
White"
A0058955731,G Pig 39,GUINEA PIG/GUINEA PIG,F,Chocolate/White
A0058955735,G Pig 40,GUINEA PIG/GUINEA PIG,F,Red/Chocolate
A0058955743,G Pig 41,GUINEA PIG/GUINEA PIG,F,Black/Red
A0058955747,G Pig 42,GUINEA PIG/GUINEA PIG,F,Tan/Brown
A0058955750,G Pig 43,GUINEA PIG/GUINEA PIG,F,White/Chocolate
A0058955758,G Pig 44,GUINEA PIG/GUINEA PIG,F,"Brown/Red/
White"
A0058955787,Hampster 1,HAMSTER/HAMSTER,U,Tan
A0058955792,Hampster 2,HAMSTER/HAMSTER,M,Brown/White
A0058955797,Hampster 3,HAMSTER/HAMSTER,M,Brown/White
A0058955803,Hamster 4,HAMSTER/HAMSTER,M,Black/White
A0058955810,Hamster 5,HAMSTER/HAMSTER,M,Black/White
A0058955824,Hamster 6,HAMSTER/HAMSTER,M,Black/White
A0058955829,Hampster 7,HAMSTER/HAMSTER,U,Tan
A0058955842,Hampster 8,HAMSTER/HAMSTER,F,Black/White
A0058955858,Hamster 9,HAMSTER/HAMSTER,M,Brown/White
A0058955862,Hamster 10,HAMSTER/HAMSTER,F,Black/White
A0058955864,Hampster 11,HAMSTER/HAMSTER,F,Black/White
A0058955867,Hamster 12,HAMSTER/HAMSTER,F,Black/White
A0058955875,Hamster 13,HAMSTER/HAMSTER,M,Black/White
A0058955879,Hamster 14,HAMSTER/HAMSTER,M,Black/White
A0058955881,Hamster 15,HAMSTER/HAMSTER,M,Black/White
A0058955887,Hampster 16,HAMSTER/HAMSTER,F,Black/White
A0058955896,Hamster 17,HAMSTER/HAMSTER,F,Black/White
A0058955898,Hamster 18,HAMSTER/HAMSTER,F,Black/White
A0058955917,Pinky 1,HAMSTER/HAMSTER,U,Tan
A0058955920,Pinky 2,HAMSTER/HAMSTER,U,Tan
A0058955924,Pinky 3,HAMSTER/HAMSTER,U,Tan
A0058955928,Pinky 4,HAMSTER/HAMSTER,U,Tan
A0058955934,Pinky 6,HAMSTER/HAMSTER,U,Tan
A0058956374,Pinky 5,HAMSTER/HAMSTER,U,Tan
A0058956882,Hampster 19,HAMSTER/HAMSTER,U,Tan
A0058956889,Hamster 20,HAMSTER/HAMSTER,F,Black/White
A0058956894,Hamster 21,HAMSTER/HAMSTER,F,Black/White
A0058956902,Hampster 22,HAMSTER/HAMSTER,F,Black/White
