AnimalNumber,AnimalName,AnimalType,Stage,ClearDate
A0058486125,Snowball,Cat,Hold - Bite/Scratch,6/9/2025 2:20 PM
A0058578387,,Cat,Hold - Bite/Scratch,
A0058227600,PISHU,Cat,Hold - Bite/Scratch,6/5/2025 9:13 AM
A0058096303,Mew,Cat,Hold - Bite/Scratch,6/14/2025 4:07 PM
A0058651108,,Cat,Hold - Legal Notice,6/12/2025 12:01 AM
A0058640135,,Dog,Hold - Legal Notice,6/10/2025 12:01 AM
A0058650379,,Cat,Hold - Stray,6/10/2025 12:01 AM
A0058648104,Duck Vader,Bird,Hold - Stray,6/11/2025 1:23 PM
A0058653310,,Bird,Hold - Stray,6/11/2025 8:32 AM
A0058553591,,Bird,Hold - Stray,5/29/2025 12:01 AM
A0058639310,,Cat,Hold - Stray,6/9/2025 12:01 AM
A0058636089,,Cat,Hold - Stray,6/9/2025 7:59 AM
A0058619160,,Bird,Hold - Stray,6/7/2025 8:18 AM
A0058627436,,Bird,Hold - Stray,6/10/2025 12:00 AM
