textbox3,textbox16,textbox105,textbox18,textbox103,textbox9,textbox101,textbox11,textbox99,textbox14,textbox15,textbox55,textbox22,textbox156
"Sunday, June 8, 2025",6/5/2025 12:00 AM,All,6/5/2025 11:59 PM,All,All,All,All,All,All,All,All,All,Completed

OperationType_1,textbox4,textbox72,AnimalNumber,AnimalName,Species,textbox30,textbox36,Gender,textbox46,textbox41,textbox44,OperationType,PetID,ARN,textbox50,textbox51,textbox52,textbox53,Altered,Size,SpayedNeutered,By,OperationSubType,DOA,ScheduleStatus,Textbox24,Textbox49,Assigned_To,Textbox61,textbox542
Owner/Guardian Surrender,Total Intakes: 9,Total Unique Animals: 9,A0058581971,TABITHA,Cat,Domestic Shorthair/,10y 7m 15d,F,White/Brown,Y,6/5/2025 9:40 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,Yes,No,,Y,KEARAC,Evaluation/Poss Adopt - OTC!,False,,,,,,21
Owner/Guardian Surrender,Total Intakes: 9,Total Unique Animals: 9,A0058581979,NORA,Cat,Domestic Shorthair/,10y 7m 15d,F,Black,Y,6/5/2025 9:40 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,Yes,No,,Y,KEARAC,Evaluation/Poss Adopt - OTC!,False,,,,,,21
Owner/Guardian Surrender,Total Intakes: 9,Total Unique Animals: 9,A0058624438,MOMO,Cat,Domestic Longhair/Mix,17y 3d,M,Black/Tan,Y,6/5/2025 11:51 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,Yes,No,,Y,AmberB,Euthanasia Request - OTC!,False,Completed,6/5/2025 10:51 AM,6/5/2025 11:51 AM,TAMMI COGSWELL,1 hour ,21
Owner/Guardian Surrender,Total Intakes: 9,Total Unique Animals: 9,A0058639397,Knight,Cat,Domestic Shorthair/Mix,4y 7m 10d,M,Brown,Y,6/5/2025 12:32 PM,Owner/Guardian Surrender,,Midnight,,Small,Receiving/Receiving,Yes,No,,Y,AmberB,Evaluation/Poss Adopt - OTC!,False,Completed,6/5/2025 11:32 AM,6/5/2025 12:32 PM,AMBER BUCHHOLZ,1 hour ,21
Owner/Guardian Surrender,Total Intakes: 9,Total Unique Animals: 9,A0058640561,INKA,Dog,Pug/Mix,14y 7m 8d,F,Black/White,Y,6/5/2025 8:19 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,Yes,No,,Y,NICOLEA,Euthanasia Request - FIELD!,False,Completed,6/5/2025 7:19 AM,6/5/2025 8:19 AM,TAMMI COGSWELL,1 hour ,21
Owner/Guardian Surrender,Total Intakes: 9,Total Unique Animals: 9,A0058640889,MYA,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",9y 2m 22d,F,Fawn,Y,6/5/2025 8:19 AM,Owner/Guardian Surrender,,,,Medium,Receiving/Receiving,Yes,No,,Y,NICOLEA,Euthanasia Request - FIELD!,False,,,,,,21
Owner/Guardian Surrender,Total Intakes: 9,Total Unique Animals: 9,A0058645055,Ary,Dog,German Shepherd/Mix,9y 0d,F,Brown/Black,N,6/5/2025 8:52 AM,Owner/Guardian Surrender,,,,Extra Large,Cooler/Cooler,No,No,,N,AmberB,DOA,True,,,,,,21
Owner/Guardian Surrender,Total Intakes: 9,Total Unique Animals: 9,A0058645147,LITTLE MAN,Rabbit,Chinchilla/Flemish Giant,5y 6m 0d,M,Grey/White,Y,6/5/2025 9:14 AM,Owner/Guardian Surrender,,,,Small,Cooler/Cooler,Yes,No,,Y,TAMMIC,DOA,True,,,,,,21
Owner/Guardian Surrender,Total Intakes: 9,Total Unique Animals: 9,A0058648384,VADER,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",1y 11m 10d,M,Brown/White,N,6/5/2025 1:27 PM,Owner/Guardian Surrender,,,,Large,Receiving/Receiving,No,No,,N,TAMMIC,Euthanasia Request - OTC!,False,,,,,,21
Return,Total Intakes: 2,Total Unique Animals: 2,A0053723383,NUGGET,Rabbit,Lion Head/Mix,2y 3m 25d,M,Black,Y,6/5/2025 2:40 PM,Return,,,,Small,Receiving/Receiving,Yes,No,,Y,AmberB,Owned More than 30 Days - OTC!,False,Completed,6/5/2025 1:40 PM,6/5/2025 2:40 PM,AMBER BUCHHOLZ,1 hour ,21
