textbox3,textbox16,textbox105,textbox18,textbox103,textbox9,textbox101,textbox11,textbox99,textbox14,textbox15,textbox55,textbox22,textbox156
"Friday, September 5, 2025",9/4/2025 12:00 AM,All,9/4/2025 11:59 PM,All,All,All,All,All,All,All,All,All,Completed

OperationType_1,textbox4,textbox72,AnimalNumber,AnimalName,Species,textbox30,textbox36,Gender,textbox46,textbox41,textbox44,OperationType,PetID,ARN,textbox50,textbox51,textbox52,textbox53,Altered,Size,SpayedNeutered,By,OperationSubType,DOA,ScheduleStatus,Textbox24,Textbox49,Assigned_To,Textbox61,textbox542
Clinic,Total Intakes: 2,Total Unique Animals: 2,A0058867235,ARYA,Cat,Domestic Shorthair/,1y 1m 27d,F,White/Brown,Y,9/4/2025 10:52 AM,Clinic,,,,Small,Receiving/Receiving,Yes,No,,Y,DASHAV,Stray,False,Completed,9/4/2025 9:52 AM,9/4/2025 10:52 AM,SHANNON VOGT,1 hour ,28
Clinic,Total Intakes: 2,Total Unique Animals: 2,A0059262502,,Cat,Domestic Shorthair/Mix,1y 0d,M,Blue,N,9/4/2025 9:56 AM,Clinic,,,,Small,Receiving/Receiving,No,No,,N,DASHAV,Stray,False,Completed,9/4/2025 8:56 AM,9/4/2025 9:56 AM,TAMMI COGSWELL,1 hour ,28
Owner/Guardian Surrender,Total Intakes: 2,Total Unique Animals: 2,A0059239601,Henny,Dog,Boxer/Mix,14y 9d,M,Brown,Y,9/4/2025 12:57 PM,Owner/Guardian Surrender,,,,Large,Receiving/Receiving,Yes,No,,Y,SHANNONV,Euthanasia Request - OTC!,False,Completed,9/4/2025 11:57 AM,9/4/2025 12:57 PM,SHANNON VOGT,1 hour ,28
Owner/Guardian Surrender,Total Intakes: 2,Total Unique Animals: 2,A0059286943,Bandit,Cat,Domestic Longhair/Mix,16y 1d,M,Black/Grey,Y,9/4/2025 9:23 AM,Owner/Guardian Surrender,,,,Small,Receiving/Receiving,Yes,No,,Y,DASHAV,Euthanasia Request - OTC!,False,Completed,9/4/2025 8:53 AM,9/4/2025 9:23 AM,SHANNON VOGT,30 minutes,28
Seized / Custody,Total Intakes: 7,Total Unique Animals: 7,A0059293950,Brownie,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)/Mix",5m 15d,M,Brown/White,N,9/4/2025 10:49 AM,Seized / Custody,,,,Medium,Receiving/Receiving,No,No,,N,NICOLEA,Abandoned,False,,,,,,28
Seized / Custody,Total Intakes: 7,Total Unique Animals: 7,A0059297179,,Dog,"Terrier, Pit Bull/Mix",8m 0d,F,Brown/White,N,9/4/2025 1:49 PM,Seized / Custody,,,,Large,Receiving/Receiving,No,No,,N,NICOLEA,Cruelty,False,,,,,,28
Seized / Custody,Total Intakes: 7,Total Unique Animals: 7,A0059299569,,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",,F,Black,N,9/4/2025 4:26 PM,Seized / Custody,,,,Large,Receiving/Receiving,No,No,,N,LAKEW,Protective Custody,False,,,,,,28
Seized / Custody,Total Intakes: 7,Total Unique Animals: 7,A0059299574,,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",,U,Black,N,9/4/2025 4:26 PM,Seized / Custody,,,,Large,Receiving/Receiving,No,No,,N,LAKEW,Protective Custody,False,,,,,,28
Seized / Custody,Total Intakes: 7,Total Unique Animals: 7,A0059299578,,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",,U,Black,N,9/4/2025 4:26 PM,Seized / Custody,,,,Large,Receiving/Receiving,No,No,,N,LAKEW,Protective Custody,False,,,,,,28
Seized / Custody,Total Intakes: 7,Total Unique Animals: 7,A0059299582,,Dog,"Mixed Breed, Large (over 44 lbs fully grown)/Mix",,U,Black,N,9/4/2025 4:26 PM,Seized / Custody,,,,Large,Receiving/Receiving,No,No,,N,LAKEW,Protective Custody,False,,,,,,28
