Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Friday, September 5, 2025",All,All,All,All,All,All,All,All,All,SubLocation - Alphabetical,All,All,All,All,All,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Adoptions Lobby,Avg. LOS: 45,9,A0058955507,GWENETH,Other,GUINEA PIG,N/A,Black/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available,Adoptions Lobby,G Pig 5,,Rodent,,,,,Y,7/22/2025 11:25 AM,45.10,,Rabbitat 1,14.50 ounce,No,,1,No,,,,,495
  Adoptions Lobby,Avg. LOS: 45,9,A0058955559,MARGRET,Other,GUINEA PIG,N/A,White/Black,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available,Adoptions Lobby,G Pig 6,,Rodent,,,Tricolor/,,Y,7/22/2025 11:25 AM,45.10,,Rabbitat 1,2.00 pound,No,,2,No,,,,,495
  Adoptions Lobby,Avg. LOS: 45,9,A0058955576,MARIA,Other,GUINEA PIG,N/A,Black/,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available,Adoptions Lobby,G Pig 11,,Rodent,,,,,Y,7/22/2025 11:25 AM,45.10,,Rabbitat 1,1.70 pound,No,,1,No,,,,,495
  Adoptions Lobby,Avg. LOS: 45,9,A0058955669,TRINITY,Other,GUINEA PIG,N/A,Brown/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available,Adoptions Lobby,G Pig 25,,Rodent,,,Agouti/,,Y,7/22/2025 11:25 AM,45.10,,Rabbitat 1,1.10 pound,No,,3,No,,,,,495
  Adoptions Lobby,Avg. LOS: 45,9,A0058955862,Hillary,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available,Adoptions Lobby,hamster 10,,Rodent,,,,,N,7/22/2025 11:25 AM,45.10,,Rabbitat 2,105.00 gram,No,,2,No,,,,,495
  Adoptions Lobby,Avg. LOS: 45,9,A0058955867,Harlee,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available,Adoptions Lobby,hamster 12,,Rodent,,,,,N,7/22/2025 11:25 AM,45.10,,Rabbitat 2,100.00 gram,No,,2,No,,,,,495
  Adoptions Lobby,Avg. LOS: 45,9,A0058955898,Halle,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Available,Adoptions Lobby,hamster 18,,Rodent,,,,,N,7/22/2025 11:25 AM,45.10,,Rabbitat 2,98.00 gram,No,,3,No,,,,,495
  Adoptions Lobby,Avg. LOS: 45,9,A0058956889,Harriet,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Available,Adoptions Lobby,hamster 20,,Rodent,,,,,N,7/22/2025 12:33 PM,45.10,,Rabbitat 2,95.00 gram,No,,2,No,,,,,495
  Adoptions Lobby,Avg. LOS: 45,9,A0058956894,Harper,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Available,Adoptions Lobby,hamster 21,,Rodent,,,,,N,7/22/2025 12:33 PM,45.10,,Rabbitat 2,106.00 gram,No,,2,No,,,,,495
"  Animal Care Office, Room 197",Avg. LOS: 25,2,A0059084312,HURDY,Other,"Frog, Other",N/A,Green/Red,N,N,Seized/Abandoned,U,Hold - Possible Adoption,"Animal Care Office, Room 197",,,Reptile/Amphibian,,,,,N,8/11/2025 10:47 AM,25.20,,Animal Care Office,6.00 gram,No,,1,No,,,,,495
"  Animal Care Office, Room 197",Avg. LOS: 25,2,A0059084314,GURDY,Other,"Frog, Other",N/A,Green/Red,N,N,Seized/Abandoned,U,Hold - Possible Adoption,"Animal Care Office, Room 197",,,Reptile/Amphibian,,,,,N,8/11/2025 10:47 AM,25.20,,Animal Care Office,8.00 gram,No,,1,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0058922776,SHELDON,Cat,Domestic Shorthair,1y 1m 20d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,M,Available,Cat Adoption Condo Rooms,,941010004237007,Cat,,7/16/2024 12:00:00 AM,,,Y,7/17/2025 2:15 PM,50.00,,Condo A,6.50 pound,No,,3,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059067091,Vibe,Cat,Domestic Shorthair,6m 29d,Orange/White,N,N,Seized/Signed Over,M,Available,Cat Adoption Condo Rooms,,941010004228593,Cat,,2/7/2025 12:00:00 AM,Tabby/,,Y,8/7/2025 3:49 PM,29.00,On Meds,Condo A,5.00 pound,No,,3,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059188994,Bart,Cat,Domestic Shorthair,4m 18d,Orange/,N,Y,Transfer In/Feral Cat Focus,M,Available,Cat Adoption Condo Rooms,,941010004620868,Cat,,4/18/2025 12:00:00 AM,Tabby/,,Y,8/28/2025 2:13 PM,8.00,,Condo B,6.25 pound,No,,3,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059189011,Lisa,Cat,Domestic Longhair,4m 18d,Black/,N,U,Transfer In/Feral Cat Focus,F,Available,Cat Adoption Condo Rooms,,941010004501791,Cat,,4/18/2025 12:00:00 AM,Calico/,,Y,8/28/2025 2:13 PM,8.00,,Condo B,5.75 pound,No,,0,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059218951,KITKAT,Cat,Domestic Shorthair,3m 23d,Brown/,N,Y,Transfer In/Feral Cat Focus,F,Available,Cat Adoption Condo Rooms,,941010004633346,Cat,,5/13/2025 12:00:00 AM,Tabby/,,Y,9/4/2025 11:34 AM,1.10,,Condo B,3.75 pound,No,,0,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059218957,MARGOT,Cat,Domestic Shorthair,3m 23d,Black/White,N,Y,Transfer In/Feral Cat Focus,F,Hold - Possible Adoption,Cat Adoption Condo Rooms,,941010004507743,Cat,,5/13/2025 12:00:00 AM,,,Y,9/4/2025 11:34 AM,1.10,,Condo B,4.00 pound,No,,0,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059218964,BENTLEY,Cat,Domestic Shorthair,3m 23d,White/Black,N,Y,Transfer In/Feral Cat Focus,F,Available,Cat Adoption Condo Rooms,,941010004619280,Cat,,5/13/2025 12:00:00 AM,,,Y,9/4/2025 11:34 AM,1.10,,Condo B,4.25 pound,No,,0,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059232182,Solo,Cat,Domestic Shorthair,3y 11d,Black/,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Surgery,Cat Adoption Condo Rooms,,941010004526538,Cat,,8/25/2022 12:00:00 AM,,,N,9/2/2025 12:52 PM,3.10,Needs spay,Condo C,8.90 pound,No,,0,No,,,,,495
  Cat Adoption Condo Rooms,Avg. LOS: 14,17,A0059232188,Padme,Cat,Domestic Shorthair,2y 11d,White/Black,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - OTC!,F,Hold - Surgery,Cat Adoption Condo Rooms,,941010004596804,Cat,,8/25/2023 12:00:00 AM,,,N,9/2/2025 12:52 PM,3.10,Needs spay,Condo C,7.30 pound,No,,0,No,,,,,495
