Print_Date,Emancipation_Date_Start,Site,Emancipation_Date_End,Breed,Species_,SpayNeutered,Stage_,Photo,Location_,Sort_By,Intake_Date_From,Review_Date_From,Intake_Date_To,Review_Date_To,Pre_Altered,Show_Photo,Video
"Wednesday, July 30, 2025",All,All,All,All,All,All,All,0,All,SubLocation - Alphabetical,All,All,All,All,N,No,All

Location_1,AVG_LOS,Distinct_Animals,AnimalNumber,AnimalName,AnimalType,PrimaryBreed,Age,Color,Declawed,PreAltered,IntakeType,Sex,Stage,Location,ARN,ChipNumber,Species,SecondaryBreed,DateOfBirth,ColorPattern,EmancipationDate,SpayedNeutered,IntakeDateTime,LOSInDays,StageChangeReason,SubLocation,AnimalWeight,Danger,DangerType,NumberOfPictures,Videos,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,Total_Animals
  Adoptions Lobby,Avg. LOS: 8,10,A0058952074,Guinea Pig 1,Other,GUINEA PIG,N/A,Tan/Brown,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,M,Hold - Doc,Adoptions Lobby,,,Rodent,,,Tricolor/,,N,7/22/2025 11:25 AM,8.10,,Rabbitat 1,14.00 ounce,No,,0,No,,,,,279
  Adoptions Lobby,Avg. LOS: 8,10,A0058955493,Guinea Pig 2,Other,GUINEA PIG,N/A,White/Brown,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,M,Hold - Doc,Adoptions Lobby,,,Rodent,,,Tricolor/,,N,7/22/2025 11:25 AM,8.10,,Rabbitat 1,13.00 ounce,No,,0,No,,,,,279
  Adoptions Lobby,Avg. LOS: 8,10,A0058955564,G Pig 7,Other,GUINEA PIG,N/A,Black/Orange,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,M,Hold - Doc,Adoptions Lobby,,,Rodent,,,,,N,7/22/2025 11:25 AM,8.10,,Rabbitat 1,1.30 pound,No,,0,No,,,,,279
  Adoptions Lobby,Avg. LOS: 8,10,A0058955613,G Pig 15,Other,GUINEA PIG,N/A,White/Brown,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,M,Hold - Doc,Adoptions Lobby,,,Rodent,,,Agouti/,,N,7/22/2025 11:25 AM,8.10,,Rabbitat 1,13.50 ounce,No,,0,No,,,,,279
  Adoptions Lobby,Avg. LOS: 8,10,A0058955862,Hamster 10,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Hold - Doc,Adoptions Lobby,,,Rodent,,,,,N,7/22/2025 11:25 AM,8.10,,Rabbitat 2,105.00 gram,No,,0,No,,,,,279
  Adoptions Lobby,Avg. LOS: 8,10,A0058955867,Hamster 12,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Hold - Doc,Adoptions Lobby,,,Rodent,HAMSTER,,,,N,7/22/2025 11:25 AM,8.10,,Rabbitat 2,100.00 gram,No,,0,No,,,,,279
  Adoptions Lobby,Avg. LOS: 8,10,A0058955896,Hamster 17,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Hold - Doc,Adoptions Lobby,,,Rodent,HAMSTER,,,,N,7/22/2025 11:25 AM,8.10,,Rabbitat 2,93.00 gram,No,,0,No,,,,,279
  Adoptions Lobby,Avg. LOS: 8,10,A0058955898,Hamster 18,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Guardian Surrender - FIELD!,F,Hold - Doc,Adoptions Lobby,,,Rodent,HAMSTER,,,,N,7/22/2025 11:25 AM,8.10,,Rabbitat 2,98.00 gram,No,,0,No,,,,,279
  Adoptions Lobby,Avg. LOS: 8,10,A0058956889,Hamster 20,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Hold - Doc,Adoptions Lobby,,,Rodent,HAMSTER,,,,N,7/22/2025 12:33 PM,8.10,,Rabbitat 2,95.00 gram,No,,0,No,,,,,279
  Adoptions Lobby,Avg. LOS: 8,10,A0058956894,Hamster 21,Other,HAMSTER,N/A,Black/White,N,N,Owner/Guardian Surrender/Evaluation/Poss Adopt - FIELD!,F,Hold - Doc,Adoptions Lobby,,,Rodent,HAMSTER,,,,N,7/22/2025 12:33 PM,8.10,,Rabbitat 2,106.00 gram,No,,0,No,,,,,279
